Brand,Model,Type,Horsepower,FuelType,EngineCapacity,DriveType,Price,Year
John Deere,5050D,Tractor,50,Diesel,2900,2WD,720000,2022
Mahindra,575 DI,Tractor,45,Diesel,2730,2WD,690000,2021
Sonalika,DI 750 III,Tractor,55,Diesel,3707,2WD,740000,2023
New Holland,3630 TX Plus,Tractor,55,Diesel,2931,4WD,760000,2022
Kubota,DC-70 Plus,Harvester,70,Diesel,3300,Tracked,1200000,2023
VST,VT224-1D,Mini Tractor,22,Diesel,980,2WD,360000,2021
Escorts,Powertrac Euro 50,Tractor,50,Diesel,2761,2WD,710000,2022
Eicher,557,Tractor,50,Diesel,3300,2WD,680000,2020
Preet,987 Deluxe,Harvester,100,Diesel,5100,Tracked,1800000,2023
Captain,200 DI,Mini Tractor,20,Diesel,895,2WD,340000,2020
TAFE,45 DI,Tractor,45,Diesel,2700,2WD,670000,2021
Indo Farm,3048 DI,Tractor,50,Diesel,2850,2WD,700000,2022
Swaraj,744 FE,Tractor,48,Diesel,3136,2WD,720000,2021
